gene,rna_baseMean,rna_log2FC,rna_padj
Acat2l1,162.7235532,0.648900737,0.002173475
Tcp1,2772.643444,-0.660462368,2.13E-07
Mrpl18,411.9504514,-0.2501991,0.134849592
Pnldc1,13.91797999,0.597478849,1.93E-01
MGC94891,2.612707992,0.079077348,0.882006428
Mpc1,1285.305087,0.025596316,8.72E-01
Fgfr1op,331.4752024,-0.136946658,0.476974194
Dact2,97.85098726,-0.60629365,0.022403098
LOC100125364,166.7167191,-0.62048173,2.57E-03
Dll1,206.0905115,-0.750274141,1.07E-04
Fam120b,2183.875232,-0.885993682,2.70E-13
Psmb1,3144.171306,-0.376609845,0.002259552
Tbp,387.7833605,-0.433408636,0.008948818
Pdcd2,496.508746,-0.283277354,0.096309534
Riok2,658.5459252,-0.298077157,0.057364142
Lix1,3507.409093,1.031428357,1.23E-17
LOC102552729,40.10606096,0.006415833,0.988039016
LOC688452,153.2919986,-0.186746523,0.460936697
Ppp2r1a,8197.970944,-0.478645249,1.13E-04
LOC100365363,824.6257459,-0.730346195,1.38E-06
Vom1r19,16.5151899,0.397343921,0.369730087
LOC102550851,454.0014005,-1.00819081,8.33E-10
Znf761,360.4517586,-0.641977536,5.02E-04
LOC102553001,81.29309099,-0.013008785,0.969494062
LOC102555644,459.7959982,-0.460675937,9.26E-03
LOC102555377,808.6162814,-1.120253055,1.75E-11
LOC682225,22.23854534,1.155342313,8.01E-03
Zfp945,844.0977368,-0.495831712,0.002634872
LOC690686,6.834780496,-0.225276053,0.669001936
Vom2r16,9.862186161,1.279988603,0.012597506
Leng1,59.37691621,0.400898725,0.185040601
Cnot3,261.1115442,-0.44990701,0.01983007
Prpf31,535.1292592,-0.265922328,9.93E-02
Tfpt,229.168297,-0.234947278,0.24652414
Ndufa3,1661.175924,-0.224944467,0.107392503
Vstm1,9.722199922,-1.08084087,0.032288639
Cacng6,3.50922852,-0.140155641,0.791754643
Cacng8,1131.12136,-1.311799323,3.68E-16
Prkcg,8358.120289,-1.567707245,5.33E-28
Myadm,226.2041237,-1.346521514,1.52E-11
Vom2r13,1.904532949,-0.221178789,0.631843494
LOC108348195,2.263498662,0.301548952,0.509319505
Mzf1,166.5403056,-0.287014135,0.230270032
Ube2m,2217.198891,0.290760822,2.40E-02
Trim28,2373.173385,-0.281119951,0.036317467
Zbtb45,104.7328507,-0.12463241,0.67193739
Slc27a5,3.993282958,0.614525331,0.222074821
Zfp446,122.2753816,-0.047365254,0.861975559
Zfp324,133.8663707,-0.321941774,0.170426081
Zfp128,561.076292,-0.515433776,7.33E-04
Zscan18,609.9631251,-0.523804328,4.76E-04
Zfp606,944.6908825,0.120119261,0.510200456
Zfp551,459.6110807,-0.885733861,5.09E-08
LOC100362054,18.19065985,1.187158827,0.008339079
LOC691135,300.6225366,-0.786168326,3.20E-05
Zfp978,40.91132891,0.405180159,0.249501921
Zfp773-ps1,54.08844407,1.381742743,2.02E-05
Zfp772,219.8540541,-0.707117813,1.78E-04
Aurkc,116.5573554,-0.941557063,6.13E-05
LOC103691033,139.5485199,-0.735815494,9.06E-04
Peg3,7990.224877,0.181222034,0.192274226
LOC102548162,100.8529411,-1.219377834,1.40E-06
Zfp583,220.7038724,-0.620245219,0.001151005
Zfp667,1001.345013,-1.599037059,1.17E-30
Zfp444,78.96230006,0.267637738,0.405269089
Epn1,3557.190337,0.788401179,1.47E-08
U2af2,1355.032457,-0.382430625,4.68E-03
Ccdc106,479.6012701,-0.574936799,6.94E-04
Zfp580,17.52887939,-0.584456121,2.27E-01
Zfp865,41.14714702,-0.155789446,0.666954941
LOC100911196,123.9942417,0.184431319,0.492208437
Fiz1,82.63224209,0.349194352,0.244053657
Zfp579,30.76475495,-0.046309734,0.917460378
Nat14,268.2999626,-0.816401255,5.07E-05
Zfp628,96.96784371,-0.224776102,0.415138225
Shisa7,321.9691521,-1.02538303,8.71E-09
Ube2s,939.4918528,-0.407022469,0.008713724
Il11,3.190779014,-0.808965263,0.082605476
Kmt5c,43.15359324,-0.100913166,0.78540028
Ppp6r1,1908.250965,0.017096495,0.911389548
Tmem86b,2.938285929,0.862215766,0.065512682
Syt5,1171.966391,-1.289327316,3.32E-18
Ppp1r12c,891.1851696,-0.125731718,0.525875086
Eps8l1,1.826471395,0.379192162,0.381800377
Rdh13,134.065736,0.165890402,5.26E-01
RGD1310257,145.902922,-0.283143251,0.213857199
Sepw1,3.655050567,-0.215892651,0.679850647
Napa,1970.677485,-1.006105009,1.72E-16
Kptn,89.11426719,0.05744772,0.84930953
Slc8a2,2711.608676,-1.331165139,1.77E-24
Meis3,149.5677021,-0.322697658,0.17202513
Sae1,874.564779,-0.470784958,0.00141855
Tmem160,262.6464185,-0.249824417,2.81E-01
Ap2s1,1648.034055,-0.686945877,6.42E-08
Fkrp,151.2824414,-0.599757262,0.014654302
Strn4,3714.653578,-0.314690818,0.023862853
Dact3,411.519037,1.424634511,1.60E-13
Calm3,20685.95469,-0.672890402,1.67E-07
Pnmal2,3212.583327,-0.901647379,2.80E-14
Pnmal1,1387.278749,-0.371982757,0.008794795
Ppp5c,1160.092272,-0.767501432,5.14E-09
Pglyrp1,3.358771748,-0.441306839,0.370051365
Nova2,148.1648968,0.342892945,0.154834586
Mypop,53.6468766,0.032449627,9.32E-01
Irf2bp1,193.5516532,0.02952974,9.14E-01
Rsph6a,9.046441551,-0.288682753,0.571638665
Dmwd,768.4968154,-0.257164791,0.102368165
LOC102553424,2.617800422,0.340983033,0.476484094
Qpctl,164.4058279,-0.612631588,0.004725279
Snrpd2,521.7000946,-0.184277332,0.306423993
Gipr,8.761872278,-0.653728204,0.1886675
Eml2,1643.64935,0.430763339,0.003047128
Rtn2,861.0316755,0.92116907,2.16E-10
Ercc1,322.0553162,-0.623015261,0.001585698
Ppp1r13l,21.01057167,1.637958464,5.41E-04
Ercc2,182.2542962,0.394122654,0.094909033
Klc3,2.203633162,-0.275510786,0.540873978
Exoc3l2,9.059270122,0.824159449,0.104841058
Bloc1s3,13.85121953,-0.419539466,0.394168269
Nkpd1,30.14880916,-0.694849553,0.08033716
Ppp1r37,1160.838075,0.396939256,0.017415557
Clasrp,185.23871,-0.360936713,0.119768321
Clptm1,3853.023713,-0.204503158,0.109796093
Apoc4,11.66509172,1.020807811,0.037305211
Tomm40,593.4875386,-0.680436797,3.73E-05
Zfp180,5246.679611,0.738925492,1.35E-09
Zfp112,182.6703267,-0.595976567,0.003332813
Znf235,152.4804029,-0.57695062,0.006965006
LOC102548503,136.7165848,-0.657220071,4.68E-03
Zfp61,487.5636396,-0.809449789,1.43E-07
Zfp94,154.9085802,-0.34484867,1.31E-01
LOC102548695,634.425281,-0.135478472,3.96E-01
Kcnn4,1.888729521,0.265729008,5.49E-01
Cadm4,1004.352669,1.050619392,5.37E-11
Zfp428,189.2839852,-0.510960897,1.26E-02
Irgq,215.1093207,0.353774759,0.096358983
Xrcc1,343.9930436,-0.195918034,0.280860812
Zfp575,8.925883338,0.243900466,0.641515341
Rps19,1.876149802,0.380523726,3.95E-01
Rabac1,544.7345334,-0.452320172,0.016180437
Atp1a3,21939.25587,-0.867438977,6.48E-11
Zfp574,309.6940948,0.407501279,0.034241108
Dedd2,54.75354095,-0.451047197,0.170806194
