image_id,bin,null_mean_coassoc_freq
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,whole_image,0.05613333333333333
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,0_40,0.0629820121983463
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,whole_image,0.045144827586206894
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,0_40,0.054443304704355794
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,whole_image,0.12094545454545455
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,0_40,0.13133267676767676
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,whole_image,0.37724285714285716
