image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,whole_image,21,8,29,1,1,2,1,0.06896551724137931
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,0_40,17,7,24,1,1,2,1,0.08333333333333333
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,40_80,4,1,5,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_006_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,whole_image,5,1,6,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,0_40,5,1,6,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,whole_image,5,6,11,1,1,2,1,0.18181818181818182
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,0_40,4,6,10,1,1,2,1,0.2
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,40_80,1,0,1,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,whole_image,8,6,14,4,4,8,4,0.5714285714285714
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,0_40,7,4,11,4,4,8,4,0.7272727272727273
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,40_80,1,0,1,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,80_120,0,2,2,0,0,0,0,0.0
1hrCLTP_Tom20500_007_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,whole_image,9,2,11,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,0_40,8,1,9,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,40_80,1,1,2,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,whole_image,12,2,14,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,0_40,12,2,14,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,whole_image,8,2,10,1,1,2,1,0.2
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,0_40,8,2,10,1,1,2,1,0.2
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d4.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,whole_image,2,6,8,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,0_40,2,6,8,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_008_d5.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,whole_image,36,23,59,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,0_40,29,20,49,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,40_80,7,3,10,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,whole_image,24,8,32,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,0_40,17,8,25,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,40_80,7,0,7,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,whole_image,51,6,57,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,0_40,29,4,33,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,40_80,22,2,24,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_011_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,whole_image,3,3,6,1,1,2,1,0.3333333333333333
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,0_40,3,3,6,1,1,2,1,0.3333333333333333
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d1.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,whole_image,11,6,17,3,3,6,3,0.35294117647058826
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,0_40,11,6,17,3,3,6,3,0.35294117647058826
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d2.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,whole_image,8,4,12,2,2,4,2,0.3333333333333333
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,0_40,8,4,12,2,2,4,2,0.3333333333333333
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d3.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,whole_image,22,14,36,8,8,16,8,0.4444444444444444
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,0_40,21,13,34,8,8,16,8,0.47058823529411764
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,40_80,1,1,2,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d4.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,whole_image,15,12,27,8,8,16,8,0.5925925925925926
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,0_40,15,12,27,8,8,16,8,0.5925925925925926
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,40_80,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,80_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_012_d5.tif_d1_localizations.csv,120_160,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,whole_image,139,26,165,11,11,22,11,0.13333333333333333
1hrCLTP_Tom20600_013_d1.tif_d1_localizations.csv,0_40,80,17,97,8,8,16,8,0.16494845360824742
