Source File,X (um),Y (um)
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,61.957857,2.0768605
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,16.7584885,2.1348535
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,37.6981085,2.210793
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,2.6795535,2.6657345
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,2.6260195,2.943317
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,6.5180505,0.60398
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,1.069419,1.5957305
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,68.7779105,1.801943
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,2.2595885,2.067572
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0.4770805,0.154284
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,1.147146,0.730756
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,10.944284,1.610115
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,46.588737,1.6177135
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,18.129046,1.7388345
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,4.358029,2.340065
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,3.489473,2.7808235
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,1.799408,3.1665855
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0.7142005,1.131819
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,1.285245,1.347632
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0.9441575,0.3510715
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,0.601861,0.520351
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,0.566605,1.780961
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,8.4167135,1.4426165
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,2.2861215,1.7639505
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,1.1570195,1.9315985
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,5.0020815,2.2787895
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,2.2399195,3.1094505
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,3.254108,1.03571
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,4.9005645,1.380886
C2-1hrCLTPBIP_003_d1.tif_d1_localizations.csv,6.2656945,1.5477215
