"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes"
2.16066255976868,20.1405427881061,2.04289939560706,0.0799469706893051,0.368951239685082,-4.17932130546593,"P16045","LEG1_MOUSE","Lgals1"
-0.137462668759124,22.2004081813656,-0.157229070055601,0.87945808927461,0.966821475626393,-5.85621311974343,"P15105","GLNA_MOUSE","Glul"
0.0620218302294582,18.7419173411796,0.0675622580824436,0.948004132320044,0.983008269561892,-5.8667925371667,"P17426","AP2A1_MOUSE","Ap2a1"
0.29532177537838,21.1672253884116,0.319321364639401,0.758706204543824,0.930221396660055,-5.81596749626206,"P97351","RS3A_MOUSE","Rps3a"
-1.02865243437385,19.2081544154633,-0.962019871235895,0.367763133623447,0.716113550516038,-5.41394627980022,"Q61595","KTN1_MOUSE","Ktn1"
0.412150874048429,18.9633650684281,0.456781569663096,0.661523918911978,0.895214433745014,-5.76114656856754,"Q791V5","MTCH2_MOUSE","Mtch2"
0.45901115693086,21.2586831507344,0.394323121858817,0.704960493807447,0.913875905389898,-5.78835382356008,"P48036","ANXA5_MOUSE","Anxa5"
-0.284452216108345,20.848571101208,-0.202669441896028,0.845099474697065,0.9527097643444,-5.84765324043651,"P09602","HMGN2_MOUSE","Hmgn2"
-0.28335348083456,18.539844780241,-0.144598709677735,0.889061346431919,0.968823961757321,-5.85821153385459,"P63044","VAMP2_MOUSE","Vamp2"
0.153394556225035,19.1421741332482,0.152786290210602,0.882833689627391,0.967653864377745,-5.8569350050303,"Q9Z2Q6","SEPT5_MOUSE","Septin5"
-0.628910781405072,18.7835792605314,-0.300412882335139,0.772499073164398,0.931855407788797,-5.82204267166483,"Q9Z315","SNUT1_MOUSE","Sart1"
-0.336807622148349,18.8282756000898,-0.389004543036175,0.708717342192876,0.914305129438094,-5.79049525345044,"Q922B2","SYDC_MOUSE","Dars1"
1.19085800438758,23.2173761213681,1.5115959977702,0.173950436550029,0.530380495368137,-4.83995746314275,"P35700","PRDX1_MOUSE","Prdx1"
0.146515514208234,15.3223391024868,0.0732366445311435,0.943645683790461,0.982237058838542,-5.86637257690229,"Q8BG39","SV2B_MOUSE","Sv2b"
0.314843350400448,20.3623628533757,0.389511774552512,0.708358675926691,0.914305129438094,-5.79029222303744,"O08749","DLDH_MOUSE","Dld"
-1.36631728562327,23.7275428596733,-1.37058741178996,0.212408988238568,0.585226424026593,-5.00144982475789,"P62242","RS8_MOUSE","Rps8"
-1.36175079684002,22.1055028662443,-1.59081838017693,0.155229931576206,0.512799375953238,-4.74599527718,"P11499","HS90B_MOUSE","Hsp90ab1"
-3.3611630749791,17.5333028683527,-1.61803106681469,0.149241349202793,0.508185927541819,-4.71324902378668,"P23819","GRIA2_MOUSE","Gria2"
-0.468373369198023,20.2726820057294,-0.485865446360419,0.641750971938828,0.88960886297992,-5.74719854459449,"P63087","PP1G_MOUSE","Ppp1cc"
-0.159103803315485,20.7226257686121,-0.182930411395724,0.859985238307851,0.956822146114355,-5.85163449730157,"P62281","RS11_MOUSE","Rps11"
1.19157906881146,23.9615642280915,1.29208325203702,0.236935075960445,0.603561025474396,-5.08767474800727,"P10649","GSTM1_MOUSE","Gstm1"
0.345035408794825,17.6070654216885,0.235639491676494,0.82038923273292,0.946274088942662,-5.84010698621144,"Q60972","RBBP4_MOUSE","Rbbp4"
1.49648748113464,21.7628165036246,1.60856272230228,0.151300224299662,0.5099817029208,-4.72466854617655,"O08583","THOC4_MOUSE","Alyref"
0.971313096728128,21.1008293897029,1.16929097466317,0.280173161788599,0.654284804552039,-5.2164216201656,"P47754","CAZA2_MOUSE","Capza2"
1.12388273748151,23.878186099724,1.0087196461381,0.346360656794553,0.701169134486535,-5.37183113223392,"Q61781","K1C14_MOUSE","Krt14"
0.519978848143428,22.7486028157987,0.392383942026858,0.706329245913544,0.914235125314996,-5.789137813082,"Q6IFX2","K1C42_MOUSE","Krt42"
-2.76929044481739,15.5924657293519,-1.64470702369317,0.143580256126906,0.498073248723807,-4.68093213410598,"Q6PHU5","SORT_MOUSE","Sort1"
1.59505529922527,20.053089932629,1.79880829829512,0.114640201094114,0.446022032381786,-4.49054235691469,"P62897","CYC_MOUSE","Cycs"
0.0985796534121306,21.0504971052396,0.0990489494921157,0.923847899849411,0.97422181921653,-5.8640359342645,"P40124","CAP1_MOUSE","Cap1"
4.93599834706415,22.0383506491304,4.39942091431169,0.00308012001296394,0.0471969158909551,-1.3312840762709,"P0DP26;P0DP27;P0DP28","CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE","Calm1;Calm2;Calm3"
1.5876915688496,19.2767599103166,1.80664443945458,0.11332809276604,0.442646197627355,-4.48071199923786,"P63321","RALA_MOUSE","Rala"
-0.937253621317822,20.3387046674189,-0.463507145624456,0.65692491578578,0.894459625594855,-5.75799267248325,"Q05D44","IF2P_MOUSE","Eif5b"
0.289580363999516,20.7048547410947,0.309146116598271,0.766117278777438,0.930316580827818,-5.81928148046657,"P62264","RS14_MOUSE","Rps14"
-1.03033788397469,19.7441164707826,-1.29114309411023,0.237243113928942,0.603561025474396,-5.08868978735131,"Q925N0","SFXN5_MOUSE","Sfxn5"
0.617629685321525,18.547302197431,0.613543208653731,0.558721865592857,0.84234604665656,-5.6766590061218,"Q80UG5","SEPT9_MOUSE","Septin9"
0.425688467228294,18.921673317917,0.315333130737921,0.761607826483529,0.930221396660055,-5.81727883337423,"Q9Z1S5","SEPT3_MOUSE","Septin3"
0.39116271576771,18.970398421862,0.471768968048044,0.65129713076527,0.89290012696794,-5.75405933151249,"P19783","COX41_MOUSE","Cox4i1"
5.30944756659591,17.5926896392556,3.22413859203511,0.0143616623371698,0.124927647928569,-2.65900279273598,"Q9CYI4","LUC7L_MOUSE","Luc7l"
0.643688651292145,18.8558157568005,0.72153086765081,0.493735452291228,0.80221942982392,-5.60569059508658,"Q9CYH2","PXL2A_MOUSE","Prxl2a"
-0.326390928365946,20.4699285648086,-0.345418959866165,0.739823568342094,0.926306964407537,-5.80699320460379,"Q05920","PYC_MOUSE","Pc"
0.0931451562668641,25.1007234361243,0.0929776254986652,0.928499913285197,0.975512567122422,-5.8646483590988,"P50446","K2C6A_MOUSE","Krt6a"
0.106530373098526,19.5286120807833,0.114465350225112,0.912050200658444,0.973635583982647,-5.86230742910915,"Q8BFR5","EFTU_MOUSE","Tufm"
0.613691827783782,20.3617471372586,0.635889725641908,0.544864059990315,0.831747743345776,-5.66279971170306,"P25444","RS2_MOUSE","Rps2"
-3.10495863498246,18.525638502455,-1.21391651313682,0.26374698092612,0.641047145179986,-5.17055127728621,"P97300","NPTN_MOUSE","Nptn"
-0.80519001388631,23.9689349772063,-0.776048902300549,0.462872561794846,0.77961350129866,-5.56614515540706,"Q3TEA8","HP1B3_MOUSE","Hp1bp3"
-1.2567688534839,16.164878123771,-0.519975432676851,0.618951976919804,0.876298747707356,-5.72982287911938,"Q8R422","CD109_MOUSE","Cd109"
-2.71663211241172,19.0430924513191,-1.56013601610738,0.162248575845672,0.517219065329356,-4.78263595276475,"P35564","CALX_MOUSE","Canx"
-1.18659668666396,21.6067795570797,-0.792596274359928,0.453769788314672,0.772572152412672,-5.55366816678459,"Q04750","TOP1_MOUSE","Top1"
0.562485610003993,20.6253863868061,0.633975210681372,0.54604309837075,0.832224829345474,-5.66400428227971,"Q99PT1","GDIR1_MOUSE","Arhgdia"
1.86481031724126,20.2749762199804,1.32350024215497,0.226838595339638,0.599143286093462,-5.05351139749195,"Q8VE97","SRSF4_MOUSE","Srsf4"
0.0539162116337728,18.3997440897901,0.0478129512183329,0.963187245361641,0.98342849449533,-5.86799053543021,"Q9DB41","GHC2_MOUSE","Slc25a18"
2.30531469642101,17.3742365235786,2.05737620465844,0.0782498806474422,0.363703700676411,-4.16060415737258,"E9Q616","E9Q616_MOUSE","Ahnak"
-0.0953779532155536,20.8766178480897,-0.106505390008195,0.918138953721863,0.974105309541726,-5.86323096915769,"P19253","RL13A_MOUSE","Rpl13a"
0.198682569028005,22.5662683717606,0.244771272375561,0.813582272376974,0.942666221540362,-5.83781938465162,"P52480","KPYM_MOUSE","Pkm"
-1.86673553588097,16.1217586559799,-1.30751754516658,0.231927308693328,0.601941785531688,-5.07095006601675,"P97429","ANXA4_MOUSE","Anxa4"
2.96628436467659,19.4061625716742,2.35780710390386,0.0501345274138793,0.281846347254215,-3.76896300464434,"Q9CX86","ROA0_MOUSE","Hnrnpa0"
0.608310768416647,20.4385316337398,0.715792239818683,0.497061293429987,0.80369001340303,-5.60971130678826,"P62908","RS3_MOUSE","Rps3"
0.499849339536688,19.9026408094572,0.55523201074757,0.595849416857374,0.86658489802091,-5.7107263102471,"Q9QYG0","NDRG2_MOUSE","Ndrg2"
3.93260708848721,17.9532386956595,3.17796683689066,0.0153191129721334,0.130408859147392,-2.71604456987463,"Q91X97","NCALD_MOUSE","Ncald"
-1.51508377347492,24.0839916439582,-1.09550427528281,0.309186222047556,0.673113611277302,-5.28978815238484,"P03995","GFAP_MOUSE","Gfap"
0.109803479749058,23.0992597158903,0.136401762749069,0.895304537813045,0.969169483640094,-5.85941954669105,"P05063","ALDOC_MOUSE","Aldoc"
0.211978378643263,20.7323913144366,0.265955353286469,0.797858567467405,0.933803916800864,-5.83218416133517,"P59999","ARPC4_MOUSE","Arpc4"
0.117822514101285,20.7369714196805,0.145018950652006,0.88874149340486,0.968823961757321,-5.85814771400781,"P46460","NSF_MOUSE","Nsf"
0.0865600105270659,21.6823422326086,0.097432261482787,0.925086346704648,0.974496035238318,-5.86420278466417,"Q8VEM8","S25A3_MOUSE","Slc25a3"
-2.59234240021482,15.4762675174053,-1.42561251639577,0.19657821038002,0.561813192362985,-4.93938132987997,"Q99L43","CDS2_MOUSE","Cds2"
-1.48347334988903,16.8785739058703,-0.697895177731398,0.507527006373409,0.809183837149838,-5.62207410978459,"Q9Z2H5","E41L1_MOUSE","Epb41l1"
4.2852358335656,17.9738805095037,2.83324314050546,0.0250113170642366,0.178575425060786,-3.15106454355704,"O70492","SNX3_MOUSE","Snx3"
3.81074246580188,18.7410642881037,2.5554588675403,0.0374699918940996,0.233681498363947,-3.51062701643311,"Q62048","PEA15_MOUSE","Pea15"
-1.0855825915647,21.3908079628605,-1.23239366086855,0.25718684449392,0.629381073994948,-5.15124436844078,"P26043","RADI_MOUSE","Rdx"
-1.14813388833494,17.9091741199679,-1.0961639829399,0.308916390568771,0.673113611277302,-5.28914647072533,"P45952","ACADM_MOUSE","Acadm"
-1.31995637488216,17.7354095255829,-0.772613321099727,0.464778024382088,0.77961350129866,-5.56870828948908,"P50580","PA2G4_MOUSE","Pa2g4"
1.40522592689673,19.9615658916476,1.64220603163676,0.144102363383994,0.498073248723807,-4.68397082431832,"Q7TQI3","OTUB1_MOUSE","Otub1"
-2.93509842881645,18.2025702263462,-1.6582633661408,0.14078091181353,0.493724606219281,-4.66443020758074,"P21956","MFGM_MOUSE","Mfge8"
2.71625914027909,22.0541236194186,2.33599288230146,0.0517782113455341,0.284923196133436,-3.7975072060158,"P84104","SRSF3_MOUSE","Srsf3"
1.8642860828687,20.5119121125117,1.35258461488297,0.217827835062755,0.590343488122162,-5.02147289695128,"P14869","RLA0_MOUSE","Rplp0"
