"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes","label_filtered"
0.0888096515652741,18.3997440897901,0.0787564891771396,0.939407917767481,0.967545831033007,-5.86593162961934,"Q9DB41","GHC2_MOUSE","Slc25a18","Slc25a18"
3.96372239158881,17.3742365235786,3.53742078814102,0.00934054918898536,0.117021220028043,-2.28089995002676,"E9Q616","E9Q616_MOUSE","Ahnak","Ahnak"
0.5559757985008,20.8766178480897,0.62083969364095,0.554174091284932,0.755264201964961,-5.67218210781458,"P19253","RL13A_MOUSE","Rpl13a","Rpl13a"
0.885261102682307,22.5662683717606,1.09061649216745,0.311191340670876,0.60960081461631,-5.29453414041848,"P52480","KPYM_MOUSE","Pkm","Pkm"
1.62736095385638,16.1217586559799,1.13985241004267,0.291468038875503,0.596743013743127,-5.24607283166027,"P97429","ANXA4_MOUSE","Anxa4","Anxa4"
2.89977330794604,19.4061625716742,2.30493953533393,0.0542131211750063,0.335380550871468,-3.83813317506815,"Q9CX86","ROA0_MOUSE","Hnrnpa0","Hnrnpa0"
0.394898678893153,20.4385316337398,0.464672704384487,0.656129504575322,0.814341135528308,-5.75744170496393,"P62908","RS3_MOUSE","Rps3","Rps3"
0.655681616125438,19.9026408094572,0.728330305425606,0.48981372611469,0.723819690222895,-5.60089128297655,"Q9QYG0","NDRG2_MOUSE","Ndrg2","Ndrg2"
4.44243462672951,17.9532386956595,3.58996197716563,0.00870223896787527,0.111120897589792,-2.21910642024861,"Q91X97","NCALD_MOUSE","Ncald","Ncald"
-1.69511767593138,24.0839916439582,-1.22568051589065,0.259554136596113,0.575118843269698,-5.15827982008407,"P03995","GFAP_MOUSE","Gfap","Gfap"
0.382140324143663,23.0992597158903,0.474708214619615,0.649300801717893,0.813684397250652,-5.75264433931047,"P05063","ALDOC_MOUSE","Aldoc","Aldoc"
-0.304570689999139,20.7323913144366,-0.382124846778561,0.71358979173165,0.852204302418673,-5.79322403450679,"P59999","ARPC4_MOUSE","Arpc4","Arpc4"
0.674452652553885,20.7369714196805,0.830133499389994,0.433581826029882,0.680203898138919,-5.52456683297409,"P46460","NSF_MOUSE","Nsf","Nsf"
0.821064644967464,21.6823422326086,0.924193339344934,0.385826274125746,0.651879506410929,-5.44696043568633,"Q8VEM8","S25A3_MOUSE","Slc25a3","Slc25a3"
-1.19277376670047,15.4762675174053,-0.655944681881456,0.532606854002884,0.745785693968752,-5.64998953818496,"Q99L43","CDS2_MOUSE","Cds2","Cds2"
-0.759775369259376,16.8785739058703,-0.357433833513002,0.731193512445074,0.864413932813405,-5.80263316586221,"Q9Z2H5","E41L1_MOUSE","Epb41l1","Epb41l1"
4.19891197697184,17.9738805095037,2.7761689247434,0.027161233790455,0.22083746004321,-3.22442185149904,"O70492","SNX3_MOUSE","Snx3","Snx3"
3.21750536314863,18.7410642881037,2.15763796304889,0.0674397317365229,0.372132813349456,-4.03045089857544,"Q62048","PEA15_MOUSE","Pea15","Pea15"
0.291089834551599,21.3908079628605,0.330455987072896,0.750627391195731,0.874415066235027,-5.81222192932409,"P26043","RADI_MOUSE","Rdx","Rdx"
0.875200300256015,17.9091741199679,0.835584644566263,0.430703588180171,0.680203898138919,-5.5202500178213,"P45952","ACADM_MOUSE","Acadm","Acadm"
1.61557596264385,17.7354095255829,0.945649063665902,0.375500437903438,0.647208612090419,-5.42835732540343,"P50580","PA2G4_MOUSE","Pa2g4","Pa2g4"
1.11113888603578,19.9615658916476,1.29852356529159,0.23483421356997,0.56564661841763,-5.08070994735593,"Q7TQI3","OTUB1_MOUSE","Otub1","Otub1"
-3.4316013148145,18.2025702263462,-1.9387761213351,0.0932700483644233,0.420348272266813,-4.31320766084865,"P21956","MFGM_MOUSE","Mfge8","Mfge8"
2.69766403254219,22.0541236194186,2.32000102104092,0.0530179388634982,0.331485319260511,-3.81843036046314,"P84104","SRSF3_MOUSE","Srsf3","Srsf3"
0.404512617266551,20.5119121125117,0.293483681323664,0.777576042024076,0.88967919340147,-5.82417870637102,"P14869","RLA0_MOUSE","Rplp0","Rplp0"
0.39696097374701,20.5142507864443,0.385957843545502,0.710873342009478,0.851509138474372,-5.7917094439674,"Q9D1R9","RL34_MOUSE","Rpl34","Rpl34"
1.42271533773618,20.8890794859303,1.8031115916497,0.113917849803158,0.453986128753127,-4.48514551204984,"P19157","GSTP1_MOUSE","Gstp1","Gstp1"
0.737941145064593,20.93253733315,0.822044243164203,0.437878024444441,0.682514103828895,-5.53093069882618,"P61027","RAB10_MOUSE","Rab10","Rab10"
1.32484810494306,19.7814827726522,1.54484699661835,0.165854091222046,0.51063247145416,-4.80077829145981,"Q68FD5","CLH1_MOUSE","Cltc","Cltc"
-1.3270938087456,19.0203108111639,-1.30119240364621,0.233968356746629,0.565612823591366,-5.07781789045467,"Q9CQ69","QCR8_MOUSE","Uqcrq","Uqcrq"
-1.01551590979167,17.3444319686835,-0.344524130448587,0.74046793399786,0.869700545120128,-5.80731217872863,"P17047","LAMP2_MOUSE","Lamp2","Lamp2"
-1.18210828436056,16.5724338451971,-0.577211791086754,0.581693207436781,0.773131255720502,-5.69824489043808,"Q8BFR4","GNS_MOUSE","Gns","Gns"
1.14008806829648,18.5786226950525,0.803582286974369,0.447794962815814,0.689341241058039,-5.54526492037115,"Q61316","HSP74_MOUSE","Hspa4","Hspa4"
1.5233082532887,19.0441907315145,1.39552677211689,0.205098887310134,0.542509603183628,-4.97347716266864,"Q9R0P3","ESTD_MOUSE","Esd","Esd"
-1.34995468798569,16.37742926821,-0.96448232172891,0.36660987552456,0.645262348685202,-5.41176256484216,"Q6PDQ2","CHD4_MOUSE","Chd4","Chd4"
-0.191469102840024,18.5759278415469,-0.118753967480057,0.908772331670068,0.953780023544139,-5.86178237905632,"P26041","MOES_MOUSE","Msn","Msn"
3.13785485595441,19.7689687400689,2.5721994982678,0.0365614367080538,0.261551929542106,-3.48880711186989,"Q8BL97","SRSF7_MOUSE","Srsf7","Srsf7"
0.239751642914712,24.4839463260006,0.273319927303833,0.79241528575717,0.894836309086328,-5.83011789672622,"P05213","TBA1B_MOUSE","Tuba1b","Tuba1b"
-0.152806511180842,19.5019894177373,-0.102039409669412,0.921557687675307,0.956396804674279,-5.86372008884394,"Q8R191","SNG3_MOUSE","Syngr3","Syngr3"
0.633816512055397,23.0230767515585,0.740556563188047,0.482813737237964,0.717735048192555,-5.59216556668469,"P08249","MDHM_MOUSE","Mdh2","Mdh2"
0.81904646769879,20.3144477497464,1.02287006683318,0.34007005561576,0.632844609544943,-5.35878263794965,"Q99L04","DHRS1_MOUSE","Dhrs1","Dhrs1"
-0.132703247200848,21.6618614950146,-0.125988463982939,0.903247216175813,0.952613339407993,-5.8608531025762,"P11798","KCC2A_MOUSE","Camk2a","Camk2a"
-1.73462753681696,17.3240450901265,-1.0029668128263,0.348943872500385,0.636534976209493,-5.37709826118481,"P31648","SC6A1_MOUSE","Slc6a1","Slc6a1"
-2.19575048324184,20.9484044865008,-1.17106079510971,0.279505838535812,0.58846743661796,-5.21462335701332,"Q9JMG7","HDGR3_MOUSE","Hdgfl3","Hdgfl3"
-0.465892644292005,20.6259883010554,-0.449633484308068,0.666429033654152,0.82006163023869,-5.76445116738722,"F6YVP7;P62270","F6YVP7_MOUSE;RS18_MOUSE","Rps18-ps6;Rps18","Rps18-ps6;Rps18"
0.813848348061157,25.3773339594101,0.977323910322887,0.360640368160436,0.644827602313341,-5.4003072054596,"P63260","ACTG_MOUSE","Actg1","Actg1"
1.45590508270914,18.7257692149581,0.687836367482491,0.513470887377606,0.73493204595067,-5.62890421609528,"P61164","ACTZ_MOUSE","Actr1a","Actr1a"
-0.18753919352579,19.4551637422666,-0.189899227028224,0.854722545917376,0.929912249166707,-5.85027495718051,"O55100","SNG1_MOUSE","Syngr1","Syngr1"
0.532336324694747,20.1998983353985,0.614626428340849,0.558045312205198,0.757754779763296,-5.67599735280462,"Q9D0K2","SCOT1_MOUSE","Oxct1","Oxct1"
0.515450328187329,15.62957466218,0.255874454243115,0.805329025851693,0.901244617694704,-5.83492295114767,"Q80SY5","PR38B_MOUSE","Prpf38b","Prpf38b"
-1.93116573889683,20.0533039196311,-2.37640722967432,0.0487750695252337,0.311410059276492,-3.74462352481411,"Q8CCK0","H2AW_MOUSE","Macroh2a2","Macroh2a2"
1.80617865734446,19.4495101933437,2.14407255759625,0.0688102566414972,0.373464240237239,-4.04810696620247,"O09061","PSB1_MOUSE","Psmb1","Psmb1"
-2.32397295149553,16.8782236184269,-1.37519827079352,0.211040370529736,0.546425897838777,-4.99629848562737,"Q08642","PADI2_MOUSE","Padi2","Padi2"
0.936826904418993,17.3727751292014,1.07865425928618,0.316142829533374,0.613200113369505,-5.30608772841166,"P55264","ADK_MOUSE","Adk","Adk"
1.09728650456671,20.0108519018318,1.20303698826989,0.267675256882807,0.57894583247617,-5.18183436721325,"Q8QZT1","THIL_MOUSE","Acat1","Acat1"
0.034332675034733,18.3163278256511,0.0326532274560139,0.974853380185074,0.987643063618975,-5.86863205844804,"P13020","GELS_MOUSE","Gsn","Gsn"
0.255832465366133,20.763906856521,0.267808438919544,0.796487772975537,0.896386239416537,-5.8316694423763,"P53026","RL10A_MOUSE","Rpl10a","Rpl10a"
-4.11089619874397,18.4399234495566,-2.32829552215848,0.0523712066243797,0.330137479733431,-3.8075784906806,"Q91VE6","MK67I_MOUSE","Nifk","Nifk"
1.71382556437007,20.1226902810982,1.9535583574819,0.0912535887167427,0.416279790946784,-4.29428776779787,"P12658","CALB1_MOUSE","Calb1","Calb1"
0.662951941140253,20.933014579768,0.853878590380119,0.421143627786968,0.675335369220393,-5.50559726627212,"Q9CWS0","DDAH1_MOUSE","Ddah1","Ddah1"
0.485558590005851,25.6242974146334,0.474982018627404,0.649114991261037,0.813684397250652,-5.7525121087453,"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2","H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1G_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2A1F_MOUSE;H2A1H_MOUSE;H2A1K_MOUSE;H2AJ_MOUSE","H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2ac25;Hist1h2af;H2ac12;H2ac15;H2aj","H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2ac25;Hist1h2af;H2ac12;H2ac15;H2aj"
