"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005504","MF","GO:0005504","fatty acid binding","7/691","19/7719",0.000862567563727509,0.0336111411176845,0.0333047980156619,"Nme2/Fabp5/Ptgds/Fabp7/Fabp3/Sh3glb1/Scp2",7
"GO:0044548","MF","GO:0044548","S100 protein binding","5/691","10/7719",0.000974589446125654,0.0373485228238401,0.0370081159838058,"S100a11/S100b/S100a1/S100a6/Ezr",5
"GO:0055105","MF","GO:0055105","ubiquitin-protein transferase inhibitor activity","5/691","10/7719",0.000974589446125654,0.0373485228238401,0.0370081159838058,"Rps15/Rps7/Rpl11/Rpl37/Rps20",5
"GO:0019843","MF","GO:0019843","rRNA binding","13/691","58/7719",0.0015114049349029,0.0551841313633443,0.0546811648640791,"Mrpl20/Rps18/Rpl12/Rpl11/Rps3/Rpl37/Mrps18a/Rpl19/Rps11/Rpl23a/Rps5/Rps9/Rplp0",13
"GO:0004364","MF","GO:0004364","glutathione transferase activity","5/691","11/7719",0.00165582703526942,0.0599849215823775,0.0594381990867684,"Mgst1/Gstk1/Mgst3/Gstm5/Gsta4",5
"GO:0031406","MF","GO:0031406","carboxylic acid binding","17/691","91/7719",0.00261014224027105,0.092391065405625,0.0915489825535006,"Folr1/P3h3/Ogfod3/Nme2/Fabp5/Ptgds/Grhpr/Fabp7/Fabp3/Ass1/Sh3glb1/Ppia/Mat2a/Ddah2/Slc1a1/Glul/Scp2",17
"GO:0002181","BP","GO:0002181","cytoplasmic translation","53/691","124/7719",4.17862467827017e-24,1.76148023937625e-21,1.74542552350711e-21,"Rpl26/Uba52/Rpl13/Rpl41/Rplp1/Rps14/Rpl18a/Rpl7a/Rpl38/Rps17/Rps12/Rps15/Rps15a/Rpl32/Rps18/Rpsa/Rpl18/Rps29/Rps19/Rpl39/Rpl14/Rps21/Rpl27/Rps25/Rpl37a/Rps27a/Rpl36/Rps26/Rps23/Mcts1/Rps7/Rpl27a/Fau/Rpl12/Rpl34/Rps16/Rpl11/Rps3/Rps8/Rpl19/Rpl30/Rps24/Rps28/Rpl13a/Rps20/Rpl31/Rpl24/Rps2/Rps11/Rpl23a/Rps5/Rps9/Rplp0",53
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","49/691","126/7719",3.23671641844477e-20,1.07204671659489e-17,1.06227572680537e-17,"Ndufb1/Cox7c/Ndufa11/Chchd2/Atp5mf/Uqcrq/Ndufa2/Cox7b/Ndufa3/Uqcr10/Uqcc2/COX3/Atp5pd/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Uqcrh/Cox8a/Ndufb11/Ndufb5/Fxn/Ndufs6/Cox5b/Ndufa12/Cox7a2/Ndufv3/Slc25a33/Ndufa6/Iscu/Ndufa8/Atp5pf/Ndufa1/Ndufa7/Ndufb7/Ndufb8/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1/Atp5pb/Park7",49
"GO:0009060","BP","GO:0009060","aerobic respiration","56/691","164/7719",8.65872966442539e-20,2.50940809087128e-17,2.48653651218532e-17,"Ndufb1/Cox7c/Ogdhl/Ndufa11/Chchd2/Dhtkd1/Atp5mf/Uqcrq/Ndufa2/Cox7b/Ndufa3/Uqcr10/Uqcc2/COX3/Atp5pd/Uqcr11/Cox4i1/Cox6a1/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Oxa1l/Ndufb6/Uqcrh/Cox8a/Bloc1s1/Ndufb11/Ndufb5/Fxn/Ndufs6/Cox5b/Ndufa12/Cox7a2/Ndufv3/Slc25a33/Ndufa6/Iscu/Ndufa8/Pank2/Atp5pf/Ndufa1/Ndufa7/Mrps36/Ndufb7/Idh2/Ndufb8/Uqcrb/Sdhb/Ndufb10/Ndufa13/Cyc1/Atp5pb/Park7",56
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","31/691","69/7719",2.54065889407563e-15,4.71241411673147e-13,4.66946360953268e-13,"Ndufb1/Ndufa11/Atp5mf/Ndufa2/Ndufa3/Atp5mg/Atp5pd/Ndufc1/Ndufb4/ND3/Ndufc2/Ndufb9/Ndufb2/Ndufb6/Ndufb11/Ndufb5/Ndufs6/Ndufa12/Ndufv3/Ndufa6/Ndufa8/Atp5pf/Ndufa1/Atp5mc1/Ndufa7/Ndufb7/Ndufb8/Sdhb/Ndufb10/Ndufa13/Atp5pb",31
