image_id,bin,cbc_mean_score,cbc_positive_fraction,n_points
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,60_90,0.0,0.0,3
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,whole_image,0.0,0.0,26
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,0_30,0.0,0.0,4
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,30_60,0.0,0.0,6
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,60_90,0.0,0.0,14
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,90_120,0.0,0.0,2
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,whole_image,0.2189071951207221,0.21568627450980393,51
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,0_30,0.27910667377892073,0.275,40
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,30_60,0.0,0.0,4
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,60_90,0.0,0.0,7
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,whole_image,0.30291959523969303,0.4117647058823529,34
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,0_30,0.34330887460498544,0.4666666666666667,30
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,30_60,0.0,0.0,4
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,whole_image,0.25811499189400283,0.42857142857142855,14
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,0_30,0.27796999127046457,0.46153846153846156,13
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,30_60,0.0,0.0,1
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,whole_image,0.47051053018622313,0.6111111111111112,54
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,0_30,0.535953074694638,0.6888888888888889,45
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,30_60,0.14329780764414846,0.2222222222222222,9
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,whole_image,0.2951576233550744,0.3333333333333333,84
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,0_30,0.380821854510063,0.4375,64
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,30_60,0.02336898184345672,0.0,18
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,60_90,0.0,0.0,2
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,whole_image,0.47488661257313475,0.475,40
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,0_30,0.49988064481382605,0.5,38
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,30_60,0.0,0.0,2
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,whole_image,0.0,0.0,6
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,0_30,0.0,0.0,2
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,30_60,0.0,0.0,4
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,whole_image,0.536480532245759,0.6444444444444445,45
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,0_30,0.6190159987451066,0.7435897435897436,39
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,30_60,0.0,0.0,4
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,60_90,0.0,0.0,2
1hrCLTP_Tom20500_005_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,whole_image,0.0,0.0,14
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,0_30,0.0,0.0,4
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,30_60,0.0,0.0,7
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,60_90,0.0,0.0,3
1hrCLTP_Tom20500_005_d2.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,whole_image,0.0,0.0,3
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,0_30,0.0,0.0,3
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,30_60,0.0,0.0,0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTP_Tom20500_005_d3.tif_d1_localizations.csv,90_120,0.0,0.0,0
