image_id,channel,x_um,y_um,cbc_score
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,44.2370825,3.2512935,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,49.0688055,3.3103525,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,50.3532705,3.618355,0.3939795274709959
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,27.7653285,1.2845105,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,60.830172,1.855932,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,45.0989045,2.6984165,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,43.6151235,3.1414955,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,52.9366695,2.1442135,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,53.3855335,2.605174,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,17.357587,1.2787125,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,10.658804,1.5605135,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,23.426819,2.396277,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,10.3415455,2.534259,0.2996142879406306
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,8.024861,3.012438,0.5774733940748745
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,14.882075,3.697018,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,53.827761,2.4498695,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,12.6235135,5.330897,0.28749547209657317
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,11.549681,4.2743025,0.4789863453927815
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,21.8140845,3.9087555,0.5169241591879625
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,20.739849,2.464072,0.6791271705130928
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,7.2999225,2.676193,0.5908163702881127
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,48.998625,3.1889325,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,11.0380595,4.53999,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,arc,8.899098,2.8924675,0.4110457003390901
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,69.9571405,1.5475785,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,83.77564,2.002338,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,73.683012,1.762098,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,70.792436,1.8273125,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,19.769347,1.861327,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,24.7990535,1.9853535,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,71.1444175,1.996852,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,61.6397535,2.0863895,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,51.1493775,2.201524,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,24.368006,1.2695605,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,64.540008,1.700816,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,41.5809485,2.0754305,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,61.957857,2.0768605,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,16.7584885,2.1348535,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,37.6981085,2.210793,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,2.6795535,2.6657345,0.34848423986626315
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,2.6260195,2.943317,0.22378229449735257
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,6.5180505,0.60398,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,1.069419,1.5957305,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,68.7779105,1.801943,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,2.2595885,2.067572,0.4688369208431292
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,0.4770805,0.154284,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,1.147146,0.730756,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,10.944284,1.610115,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,46.588737,1.6177135,0.0
1hrCLTPBIP_002_d2.tif_d1_localizations.csv,actin,18.129046,1.7388345,0.4483184905318846
