image_id,bin,eligible_for_summary,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d1.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d2.tif_d1_localizations,whole_image,True,24,9,33,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d2.tif_d1_localizations,0_40,True,8,8,16,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d2.tif_d1_localizations,40_80,False,1,1,2,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d2.tif_d1_localizations,80_120,True,5,0,5,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d2.tif_d1_localizations,120_160,True,10,0,10,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,whole_image,True,34,20,54,3,2,5,3,0.09259259259259259
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,0_40,True,20,10,30,3,2,5,3,0.16666666666666666
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,40_80,True,12,1,13,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,80_120,True,2,9,11,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d1.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d3.tif_d1_localizations,whole_image,True,14,2,16,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d3.tif_d1_localizations,0_40,True,14,2,16,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d3.tif_d1_localizations,40_80,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d3.tif_d1_localizations,80_120,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w6_w2CY3-100_s1_d3.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
