"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022904","GO:0022904","respiratory electron transport chain",95,-0.71182392057746,-2.48904154295244,1e-10,2.0392e-08,1.73768421052632e-08,1675,"tags=61%, list=16%, signal=52%","66694/68349/12862/12534/66072/14466/13063/100126824/68202/18432/67892/57320/66445/67914/66826/71803/107197/215951/20463/14555/78330/407785/67680/226646/75406/17993/68943/72900/67530/17717/66383/66052/110826/230075/17709/68375/17711/27369/225887/17716/66414/66576/12859/66218/68197/66148/66142/66416/12861/66152/22272/17718/12867/12868/12857/17710/14004/66594"
"GO:0022900","GO:0022900","electron transport chain",102,-0.706806112249637,-2.48688109787208,1e-10,2.0392e-08,1.73768421052632e-08,1675,"tags=56%, list=16%, signal=48%","66072/14466/13063/100126824/68202/18432/67892/66841/57320/66445/67914/66826/71803/107197/215951/66495/20463/14555/68165/78330/407785/67680/226646/75406/17993/68943/72900/67530/17717/66383/66052/110826/230075/17709/68375/17711/27369/225887/17716/66414/66576/12859/66218/68197/66148/66142/66416/12861/66152/22272/17718/12867/12868/12857/17710/14004/66594"
"GO:0046034","GO:0046034","ATP metabolic process",116,-0.686418028531809,-2.45262001194522,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=46%, list=9%, signal=42%","66495/12015/11950/56248/11983/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/11717/17717/11951/104130/11958/66052/230075/102631912/70316/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/66416/68194/66437/71679/68198/17718/331623/69875/66091"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",143,-0.655666580414058,-2.44073735956897,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=41%, list=9%, signal=37%","66495/12015/11950/56248/11983/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/11717/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/27369/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/66437/71679/68198/17718/331623/69875/66091"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process",136,-0.658692295701235,-2.44054769328062,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=41%, list=9%, signal=38%","66495/12015/11950/56248/11983/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/11717/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/66437/71679/68198/17718/331623/69875/66091"
"GO:0045333","GO:0045333","cellular respiration",211,-0.619869092448989,-2.41972390703388,1e-10,2.0392e-08,1.73768421052632e-08,1931,"tags=50%, list=18%, signal=42%","227731/66043/102060/66694/68349/12862/14194/52637/12534/67126/66072/14466/13063/100126824/76824/74450/11651/66972/68202/15929/18432/67892/57320/66445/67914/66826/71803/107197/215951/269951/66495/20463/14555/11950/78330/407785/17706/67680/595136/28080/226646/56327/75406/17993/17986/68943/72900/66916/68002/67530/75530/17717/66383/104130/11958/66052/110826/230075/17709/102631912/70556/70316/68375/67472/17711/103172/27369/66046/17705/225887/17991/11957/14533/17716/66414/66576/12859/54405/68342/66218/67184/66377/67885/68197/66148/57423/67267/67130/66142/66416/68194/71679/12861/66152/68198/22272/17718/12867/12868/12857/69875/17710/14004/66594/66091"
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process",142,-0.640270127593959,-2.39230560240725,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=39%, list=9%, signal=36%","66495/12015/11950/56248/11983/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/11717/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/67942/66046/17705/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/66437/71679/68198/17718/331623/69875/66091"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process",164,-0.613305905746797,-2.32425860970738,1e-10,2.0392e-08,1.73768421052632e-08,947,"tags=37%, list=9%, signal=34%","66495/230103/11950/56248/78330/407785/17706/67680/595136/28080/18159/226646/75406/17993/228033/72900/66916/11717/18103/17717/17850/11951/104130/11958/66052/68738/230075/102631912/70316/79059/68375/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/70456/27425/57423/67130/75533/66416/68194/66355/71679/68198/17718/69875/66091/55951"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",156,-0.617834203919697,-2.31650302599059,1e-10,2.0392e-08,1.73768421052632e-08,958,"tags=38%, list=9%, signal=35%","21915/66495/12015/11950/56248/11983/78330/407785/17706/67680/595136/28080/226646/75406/17993/228033/72900/66916/11717/18103/17717/11951/104130/11958/66052/230075/102631912/70316/79059/68375/27369/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/27425/57423/67130/75533/66416/68194/66437/71679/68198/17718/331623/69875/66091"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process",182,-0.601299637478353,-2.28847642118352,1e-10,2.0392e-08,1.73768421052632e-08,973,"tags=35%, list=9%, signal=33%","269951/665563/66495/230103/11950/56248/78330/407785/17706/67680/595136/28080/18159/226646/75406/17993/228033/72900/66916/11717/18103/17717/74023/17850/11951/104130/11958/66052/68738/230075/102631912/70316/79059/68375/27369/67942/66046/17705/11534/225887/17991/11957/17716/66414/54405/68342/66218/67184/66377/68197/70456/27425/57423/67130/75533/66416/68194/66355/71679/68198/17718/69875/66091/55951"
