image_id,bin,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,whole_image,44,7,51,2,2,4,2,0.0784313725490196
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,0_30,34,6,40,2,2,4,2,0.1
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,30_60,4,0,4,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,60_90,6,1,7,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,whole_image,23,11,34,1,1,2,1,0.058823529411764705
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,0_30,19,11,30,1,1,2,1,0.06666666666666667
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,30_60,4,0,4,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,whole_image,10,4,14,1,1,2,1,0.14285714285714285
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,0_30,9,4,13,1,1,2,1,0.15384615384615385
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,30_60,1,0,1,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,whole_image,38,16,54,9,9,18,9,0.3333333333333333
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,0_30,30,15,45,8,8,16,8,0.35555555555555557
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,30_60,8,1,9,1,1,2,1,0.2222222222222222
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,60_90,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,90_120,0,0,0,0,0,0,0,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,whole_image,71,13,84,5,5,10,5,0.11904761904761904
