Gene Symbol,Entrez ID
Doc2a,65031
Doc2b,81820
Dock3,315992
Dock9,259237
Donson,288257
Dopey1,315864
Dos,314622
Dpcd,294004
Dph1,287523
Dpm1,296394
Dpm3,502017
Dpp3,114591
Dpp6,29272
Dpp9,301130
Drg1,305470
Drosha,310159
Dsel,297865
Dtd1,362227
Dtnb,362715
Dtnbp1,641528
Dusp14l1,365977
Dusp6,116663
Dusp8,361679
Dym,291433
Dync1h1,29489
Dync1i2,116659
Dync2h1,65209
Dynlrb1,170714
Dyrk2,314862
Dyt1,266606
Dzip1,364475
Dzip3,303963
Edc4,361399
Edn3,366270
Eed,293104
Eef1a1,171361
Eef1a2,24799
Eef1b2,363241
Eef1g,293725
Eef2,29565
Efcab1,301957
Efha2,364601
Eftud1,308789
Ehbp1,305556
Ei24,300514
Eif1a,317163
Eif2ak1,27137
Eif2ak2,54287
Eif2ak4,114859
Eif2b5,192234
Eif2s1,54318
Eif2s3y,100312984
Eif3a,292148
Eif3b,288516
Eif3c,293484
Eif3d,362952
Eif3e,299872
Eif3f,293427
Eif3i,682390
Eif3k,292762
Eif3m,295975
Eif3s6ip,300069
Eif4a1,287436
Eif4a2,303831
Eif4b,300253
Eif4e,117045
Eif4ebp1,116636
Eif4enif1,305468
Eif4g1,287986
Eif4g2,361628
Eif5,56783
Eif5b,308306
Ell,306347
Elmod1,315670
Elovl2,498728
Emb,114511
Eml2,192360
Enc1,294674
Enkur,291354
Eno2,24334
Enoph1,305177
Enpp5,316249
Ensa,60334
Entpd3,316077
Entpd6,85260
Epb4.1l4b,366376
Epb41l1,59317
Epb49,361069
Epha4,316539
Epha6,29202
Ephb2,313633
Ephb6,312275
Ephx4,289440
Epn1,117277
Epn2,60443
Eps15,313474
Epsti1,498547
Erc2,259269
Eri3,313535
Erlin2,290823
Erp29,117030
Erp44,298066
Esd,290401
Esyt3,363120
Evl,79115
Ewsr1,289752
Exd2,362759
Exoc3,252881
Exoc4,116654
Exoc5,60627
Exosc9,294975
Ext1,299907
Ext2,311215
Extl1,313610
F8a1,501661
Faah,29347
Faf1,140657
Faf2,291000
Faim2,246274
Falz,303617
Fancl,305600
Far2,500368
Farsa,288917
Fau,29752
Fbll1,363563
Fbxl12,313782
Fbxl15,309453
Fbxl16,494223
Fbxl17,316663
Fbxl2,363156
Fbxl3,306129
Fbxo11,301674
Fbxo16,305970
Fbxo21,360818
Fbxo25,364637
Fbxo31,498959
Fbxo33,314157
Fbxo34,305830
Fbxo38,307390
Fbxo42,362646
Fbxo9,300849
Fbxw4,309444
Fcgr3a,304966
Fert2,301737
Fez2,94269
Fgd1,363460
Fgf13,84488
Fgf14,63851
Fgf16,60464
Fgf9,25444
Fgfr1op2,362463
Fkbp1a,25639
Fkbp1b,58950
Fkbp2,293702
Fkbp3,299104
Flcn,303185
Flot1,64665
Flot2,83764
Flrt1,499308
Flrt3,366205
Fmnl1,287746
Fmr1,24948
Fn3k,498034
Fn3krp,303755
Fnbp4,311183
Folr2,293154
Frmpd4,302656
Frs2,314850
Frzb,295691
Fstl5,365823
Fto,291905
Ftsj3,303608
Ftsjd2,309656
Fuz,308577
Fv1,308568
Fxr1,361927
Fxr2,287433
Fxyd2,29639
Fxyd6,63847
Fxyd7,63848
G3bp1,171092
G3bp2,305240
Gaa,367562
Gab2,84477
Gabarapl1,689161
Gabbr2,83633
Gabra1,29705
Gabra2,289606
Gabra3,24947
Gabra5,29707
Gabrb1,25450
Gabrb3,24922
Gabrg2,29709
Gak,81659
Gal,29141
Galns,292073
Galnt11,311952
Galnt7,29750
Galnt9,304571
Galntl1,362760
Ganab,293721
Gap43,29423
Gapvd1,311880
Gast,25320
Gatsl2,304410
Gcc2,309798
Gcn1l1,690632
Gcnt1,64043
Gcs1,78947
Gda,83585
Gdap1,312890
Gdap1l1,311616
Gdf11,29454
Gdi1,25183
Gdi2,29662
Gdpd1,303407
Gfpt1,297417
Gfra2,25136
Gga2,293455
Gga3,360658
Ggcx,81716
Ggnbp2,360584
Ggps1,291211
Ggt7,156275
Git1,83709
Gja4,25655
Glb1,316033
Glg1,29476
Glmn,289437
Glra2,24397
Glrb,25456
Glt25d1,290637
Gltscr1,292622
Gltscr2,292624
Gmpr,117533
Gna11,81662
Gna15,89788
Gnai1,25686
Gnai2,81664
Gnaq,81666
Gnaz,25740
Gnb5,83579
Gng13,685451
Gng2,80850
Gng3,114117
Gnl1,309593
Gnl2,362593
Gnl3,290556
Gnl3l,100034253
Gnptg,287134
Golga2,64528
Golga5,299258
Golgb1,192243
Gopc,309774
Got1,24401
Gpaa1,300046
Gpatch1,292810
Gpatch4,295228
Gpc4,317322
Gpd1l,363159
Gpkow,679890
Gpm6a,306439
Gpm6b,192179
Gpr108,316136
Gpr12,80840
Gpr137,689984
Gpr139,293545
Gpr158,291352
Gpr162,362436
Gpr165,296866
Gpr171,688737
Gpr22,298944
Gpr63,297952
Gpr75,498434
Gpr85,64020
Gprasp1,171407
Gprin1,364676
Gps1,117039
Gpsm3,406163
Gramd1a,361550
Gramd1b,300644
Grap2,366962
Grem1,50566
Gria1,50592
Gria2,29627
Gria3,29628
Grid1,79219
Grik2,54257
Grik4,24406
Grik5,24407
Grin1,24408
Grin2a,24409
Grin2b,24410
Grinl1a,192147
Gripap1,116493
Grk6,59076
Grm5,24418
Grm7,81672
Grp,171101
Gse1,307913
Gsk3a,50686
Gspt2,501582
Gsta3,24421
Gsta4,300850
Gsta5,494500
Gstm6,499688
Gtdc1,362129
Gtpbp1,300077
Gtpbp4,114300
Guca2a,25656
Gucy1a2,66012
Hace1,361866
Haghl,302995
Hap1,29430
Hars,307492
Hars2l,307491
Hcn1,84390
Heatr1,361262
Heatr5b,362683
Hectd1,362736
Hecw1,291209
Hecw2,316395
Herc1,315771
Herc2,308669
Herc3,362377
Herc4,309758
Hint1,690660
Hmgcr,25675
Hn1,287828
Hnmt,81676
Hnrnpa1,29578
Hnrnpf,64200
Hnrnph2,308650
Hnrnpl,80846
Hnrnpr,319110
Hnrnpu,117280
Hnrnpul1,361522
Hnrnpul2,309197
Hnrpd,79256
Homer1,29546
Homer2,29547
Hook1,313370
Hpca,29177
Hpcal4,50872
Hpgds,58962
Hras,293621
Hrh1,24448
Hs3st2,293451
Hs6st1,316325
Hs6st3,364476
Hsd17b13,305150
Hsd17b14,691018
Hsp90aa1,299331
Hsp90b1,362862
Hspa12a,307997
Hspa8,24468
Hspbp1,246146
Hsph1,288444
Htatsf1,317612
Htr1a,24473
Htr1b,25075
Htr2c,25187
Htr3a,79246
Htr4,25324
Htr5a,25689
Htr5b,79247
Htt,29424
Hyal3,300993
Ibtk,315858
Ica1,81024
Icam5,313785
Ids,363513
Ifi44,310969
Ifrd1,29596
Ifrd2,300994
Ift122,312651
Ift20,287541
Ift52,362265
Ift81,373066
Ift88,305918
Ik,291659
Il12a,84405
Il18bp,84388
Impa1,83523
Impad1,312952
Ina,24503
Inpp4b,116699
Inpp5b,362590
Inpp5j,171088
Insig1,64194
Ints10,290679
Ints12,295448
Ints3,361988
Ipcef1,361474
Ipo4,290228
Ipo5,306182
Iqcb1,303915
Iqsec3,404781
Irs2,29376
Isy1,362394
Itfg1,171083
Itga4,311144
Itpa,311422
Itpka,81677
Itpr1,25262
Itsn2,313934
Jak1,84598
Jakmip1,305434
Jakmip2,307479
Jarid1a,312678
Josd1,315134
Jph3,307916
Jph4,445271
Jup,81679
Kalrn,84009
Katnal1,288449
Katnb1,291852
Kbtbd4,311185
Kbtbd8,500262
Kcna1,24520
Kcna2,25468
Kcna3,29731
Kcna4,25469
Kcna6,64358
Kcnab1,29737
Kcnab2,29738
Kcnc2,246153
Kcnd2,65180
Kcnd3,65195
Kcne3,63883
Kcnf1,298908
Kcng1,296395
Kcnh1,65198
Kcnh3,27150
Kcnh7,170739
Kcnip2,56817
Kcnip4,259243
Kcnj3,50599
Kcnj6,25743
Kcnk4,116489
Kcnk9,84429
Kcnma1,83731
Kcnmb4,66016
Kcnn2,54262
Kcnn3,54263
Kcnq3,29682
Kcnq5l,259273
Kcns2,66022
Kcnt2,304827
Kcnv1,60326
Kctd16,291618
Kctd2,498024
Kctd4,691835
Kdelr3,315131
Kdm4a,313539
Kdsr,360833
Kif21b,289397
Kif2a,84391
Kif3a,84392
Kif3b,296284
Kif5a,314906
Kif5c,311024
Kifap3,289168
KIFC2,300053
Kin,689197
Kirrel3,315546
Kit,64030
Klhdc1,314190
Klhdc2,299113
Klhdc3,363192
Klhdc9,360878
Klhl11,287706
Klhl12,266772
Klhl2,290692
Klhl22,303792
Klhl23,311114
Klhl29,298867
