"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000028","BP","GO:0000028","ribosomal small subunit assembly","6/709","18/10713",0.000766783737025698,0.0310406687868672,0.0308274622474639,"Rps14/Rps27/Rpl38/Rps19/Rps15/Rps27l",6
"GO:0042744","BP","GO:0042744","hydrogen peroxide catabolic process","5/709","14/10713",0.00151579937846905,0.0587896958941611,0.0583858918492087,"Mt3/Gpx1/Prdx1/Prdx6/Prdx5",5
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","47/709","155/10713",1.36813647070159e-19,2.9991930805554e-17,2.97859276481806e-17,"Rps27a/Rpl34/Rpl18a/Rplp1/Mrpl20/Uba52/Ndufa7/Rpl39/Rps14/Rps17/Rpl41/Rps3/Rps27/Rpl13/Rpl18/Rpl38/Mrpl34/Rps29/Rpl35/Rps19/Mrpl14/Mrps14/Rps15/Mrpl41/Mrps21/Rpl37/Rpl26/Rpl37a/Mrpl33/Rpl22l1/Mrps6/Rpl24/Rps26/Rpl14/Rpl32/Rps21/Rps23/Rpl27/Rpl7a/Mrpl13/Rps13/Rps27l/Rpl13a/Rps16/Rpl19/Rps9/Ubb",47
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","11/709","31/10713",2.45890450875924e-06,0.00014585642980193,0.000144854597500529,"ND3/COX3/Uqcrh/Ndufs8/Ndufa2/ND1/COX2/CYTB/ND2/Ndufb7/Ndufv2",11
"GO:0009055","MF","GO:0009055","electron transfer activity","13/709","44/10713",3.19654408444795e-06,0.000187406689230076,0.000186119464011247,"ND3/COX3/Uqcrh/Ndufs8/Ndufa2/Etfb/ND1/COX2/CYTB/ND2/Sdhc/Ndufb7/Ndufv2",13
"GO:0005507","MF","GO:0005507","copper ion binding","11/709","33/10713",4.97357204992592e-06,0.000284963071315074,0.000283005768438966,"Lacc1/Mt3/Mt1/Cox17/S100a13/Commd1/COX2/Atox1/Cuta/Rnpep/Prnp",11
"GO:0016209","MF","GO:0016209","antioxidant activity","12/709","45/10713",2.43109670018246e-05,0.0013469878639912,0.00133773591703504,"Gpx1/Selenof/Gpx4/Mgst1/Gstp1/Prdx1/Apoe/Gpx8/Prdx6/Selenow/Prxl2a/Prdx5",12
"GO:0004601","MF","GO:0004601","peroxidase activity","9/709","26/10713",2.60022426882321e-05,0.0014250359525442,0.00141524792297392,"Gpx1/Selenof/Gpx4/Mgst1/Gstp1/Prdx1/Gpx8/Prdx6/Prdx5",9
"GO:0015252","MF","GO:0015252","proton channel activity","7/709","16/10713",3.64282328477497e-05,0.00195394840445057,0.0019405274765593,"Atp5mf/Atp5pd/Atp5mg/Atp5pf/ATP6/Atp5me/Tmem175",7
"GO:0003955","MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","8/709","22/10713",4.91787620363309e-05,0.00261009808618085,0.00259217031586511,"ND3/Cbr3/Ndufs8/Ndufa2/ND1/ND2/Ndufb7/Ndufv2",8
"GO:0031386","MF","GO:0031386","protein tag activity","6/709","12/10713",5.3827120969306e-05,0.0026870925141311,0.00266863589839488,"Rps27a/Uba52/Ubl5/Nedd8/Sumo3/Ubb",6
"GO:0141047","MF","GO:0141047","molecular tag activity","6/709","12/10713",5.3827120969306e-05,0.0026870925141311,0.00266863589839488,"Rps27a/Uba52/Ubl5/Nedd8/Sumo3/Ubb",6
"GO:0031406","MF","GO:0031406","carboxylic acid binding","19/709","117/10713",0.000227867588006716,0.0104446216248169,0.0103728814942387,"Mat2a/Hdc/Ptgds/Ubr2/Grhpr/Ass1/Folr1/Gstp1/Mdk/Rida/P4ha3/Glul/Furin/Id3/Nme2/Tmem175/Sh3glb1/Scp2/Psap",19
"GO:0003954","MF","GO:0003954","NADH dehydrogenase activity","7/709","21/10713",0.000276425145737627,0.0120149619380096,0.0119324357375126,"ND3/Ndufs8/Ndufa2/ND1/ND2/Ndufb7/Ndufv2",7
"GO:0043177","MF","GO:0043177","organic acid binding","19/709","119/10713",0.000285303968628901,0.0122948941010848,0.0122104451531055,"Mat2a/Hdc/Ptgds/Ubr2/Grhpr/Ass1/Folr1/Gstp1/Mdk/Rida/P4ha3/Glul/Furin/Id3/Nme2/Tmem175/Sh3glb1/Scp2/Psap",19
"GO:0004364","MF","GO:0004364","glutathione transferase activity","6/709","16/10713",0.000370824536112285,0.0155808109256512,0.0154737922656679,"Gstm5/Mgst1/Gstp1/Gstz1/Gstm1/Gsta4",6
"GO:0043425","MF","GO:0043425","bHLH transcription factor binding","6/709","20/10713",0.00142849642811517,0.0558331704694318,0.0554496736723287,"Ncapg2/Bmal1/Ascl1/Lmo2/Id3/Bhlhe40",6
"GO:0019205","MF","GO:0019205","nucleobase-containing compound kinase activity","7/709","29/10713",0.00233206216148219,0.0884079505127308,0.0878007099499072,"Nme5/Ak9/Nme3/Dguok/Nme2/Adk/Nt5c2",7
