"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","BP","GO:0008544","epidermis development","24/801","169/10713",0.00170459997055757,0.0679079016439729,0.0630032279703485,"Fgf2/Msx2/Sprr1a/Ncor1/Bcr/Pum2/Cdkn1a/Anxa1/Bcl11b/Apc/Rock1/Insr/Stard7/Mycl/Myo5a/Lats1/Stk4/Klf7/Norad/Kcnma1/Smad4/Map2k1/Ppp3ca/Pafah1b1",24
"GO:0008361","BP","GO:0008361","regulation of cell size","23/801","160/10713",0.00179192173414129,0.0703951475697034,0.0653108316259392,"Shtn1/Ntrk3/Pum2/Map2/Golga4/Pak1/Macf1/Slc12a6/Tnr/L1cam/Rufy3/Plxna4/Epha7/Ttc3/Mtpn/Sema4d/Kcnma1/Bcl11a/Map1b/Mapt/Pafah1b1/Clcn3/Hsp90aa1",23
"GO:0032411","BP","GO:0032411","positive regulation of transporter activity","15/801","87/10713",0.00183486065073369,0.0708315196600156,0.0657156865783124,"Abcb1b/Plcb1/Akap9/Tcaf1/Cacna2d1/Akap7/Kcnc1/Myo5a/Akap6/Ank3/Reln/Cacnb3/Scn1b/Atp1b1/Atp1b2",15
"GO:0018105","BP","GO:0018105","peptidyl-serine phosphorylation","29/801","220/10713",0.001943847398792,0.0728234750660023,0.0675637722577687,"Stk32b/Prkcb/Ntrk3/Srpk2/Dclk1/Rictor/Pak1/Prkce/Plk2/Mapk1/Prkacb/Lmtk2/Braf/Uhmk1/Rock1/Akap9/Csnk1g1/Tlk1/Cd44/Prkci/Lats1/Stk4/Cab39/Mapk9/Inpp5f/Csnk1e/Dmtn/Nrxn1/Hsp90aa1",29
"GO:0060420","BP","GO:0060420","regulation of heart growth","11/801","55/10713",0.00217372091278434,0.079333801313684,0.073603887749696,"Fgf2/Rbp4/Mef2c/Jarid2/Pak1/Apc/Mapk1/Akap6/Dusp6/Ncam1/Rgs4",11
"GO:0006661","BP","GO:0006661","phosphatidylinositol biosynthetic process","14/801","80/10713",0.00222542578214575,0.0796786939848006,0.0739238704182458,"Fgf2/Impa2/Pgap1/Pgap3/Hycc2/Sh3yl1/Ip6k1/Pigm/Pi4ka/Efr3b/Pigu/Pigq/Bpnt2/Dpm1",14
"GO:0008344","BP","GO:0008344","adult locomotory behavior","14/801","80/10713",0.00222542578214575,0.0796786939848006,0.0739238704182458,"Chl1/Epha4/Nlgn2/Atp1a3/Scn8a/Mecp2/Kcnma1/Tbce/Atp1a2/Inpp5f/Btbd9/Mapt/Pafah1b1/Clcn3",14
"GO:0040008","BP","GO:0040008","regulation of growth","51/801","456/10713",0.00231885495979917,0.0819264934430968,0.0760093217173471,"Fgf2/Gng4/Mycbp2/Pot1b/Shtn1/Rbp4/Mef2c/Ncor1/Prkcb/Ntrk3/Pum2/Ahi1/Cdkn1a/Plcb1/Map2/Golga4/Jarid2/Rictor/Pak1/Macf1/Apc/Mapk1/Tnr/L1cam/Tspyl2/Rufy3/Plxna4/Epha7/Ttc3/Afg3l2/Insr/Mtpn/Cd44/Lats1/Mecp2/Stk4/Crk/Akap6/Sema4d/Smad4/Bcl11a/Dusp6/Tnks2/Syt1/Map1b/Ncam1/Mapt/Pafah1b1/Celf1/Rgs4/Serpine2",51
"GO:0061025","BP","GO:0061025","membrane fusion","18/801","116/10713",0.00233165378192303,0.0819264934430968,0.0760093217173471,"Adam8/Stxbp6/Chmp1b2/Anxa1/Huwe1/AU040320/Erc1/Eea1/Arl8b/Snap29/Grik5/Vamp2/Vps39/Snph/Chmp2b/Dnm1l/Syt1/Syt11",18
"GO:0009913","BP","GO:0009913","epidermal cell differentiation","16/801","98/10713",0.00235554214280279,0.0822549500113297,0.0763140553867104,"Fgf2/Msx2/Sprr1a/Bcr/Cdkn1a/Anxa1/Bcl11b/Rock1/Mycl/Lats1/Stk4/Klf7/Kcnma1/Map2k1/Ppp3ca/Pafah1b1",16
