"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901798","BP","GO:1901798","positive regulation of signal transduction by p53 class mediator","11/1394","27/10713",0.000308013241642419,0.0164123262637224,0.0156578056232381,"Rpl26/Pml/Rps15/Sh3glb1/Rps7/Rpl11/Steap3/Rpl37/Ubb/Rps20/Eef1e1",11
"GO:0071826","BP","GO:0071826","protein-RNA complex organization","37/1394","161/10713",0.000331283139229783,0.017501376782729,0.0166967894373841,"Prpf3/Mrm2/Dnajc17/Pih1d2/Rps27/Rps14/Srpk1/Mrpl20/Rpl38/Rps15/Rpsa/Naf1/Snrpe/Rps19/Taf9/Srsf6/Rpl13a/Mcts1/Fau/Rpl11/Rps25/Snrpd2/Snrpf/Rps27l/Snu13/Rplp0/Lsm4/Sf3a2/Rps28/Snrpb/Nudt21/Rpl24/Rpl23a/Snrpd3/Puf60/Clns1a/Rpl6",37
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","20/1394","70/10713",0.000428830500762954,0.0215496042700473,0.0205589085603258,"H2-T22/Ctsc/H2-T23/Fcer1g/Fcgr3/Tlr2/Lgals1/Cd24a/Abcc1/Ccl5/Gpr4/Rps19/C3/Mdk/Vamp8/Park7/Ripk1/Il18/Cebpb/Nfkbia",20
"GO:0007005","BP","GO:0007005","mitochondrion organization","85/1394","461/10713",0.000449409597763565,0.0224016187401338,0.0213717535371094,"Retreg1/Mtfr1/Ucp2/Irgm2/Ndufa11/Sirt4/Chchd2/Ndufb1/Tmem14a/Pet100/Gper1/Cd24a/Bcl2l11/Ndufa2/Gpx1/P2rx7/Uqcc2/Ndufa3/Ndufb4/Ndufaf8/Oxa1l/Cox7a2/Tomm7/Slc25a33/Ndufb9/Ndufc1/Tomm5/Ndufc2/Maip1/Ndufb6/Supv3l1/Cck/Ndufb2/Sh3glb1/Ndufb11/Immp1l/Them4/Timm13/Ndufb4c/Fis1/Cox19/Rab29/Romo1/Micos13/Ndufa6/Ndufb5/Ndufs6/Ndufa12/Ndufa8/Fxn/Park7/Atp5if1/Arfip2/Pank2/Cox14/Ndufa1/Pex5/Fez1/Dynll1/Slirp/Timm17a/Ndufb7/Gabarap/Dnajc19/Ndufb8/Atg5/Prelid1/Mfn1/Ndufa13/Ndufb10/Cox17/Tmem223/Fundc2/Bax/Ndufs4/Ndufs7/Rnf7/Lmna/Ttc19/Ndufab1/Fkbp8/Tomm40/Chchd10/Ndufa10/Slc25a5",85
"GO:0006979","BP","GO:0006979","response to oxidative stress","57/1394","284/10713",0.000475547284329325,0.0231445493262957,0.0220805295218639,"Gpx3/Ucp2/Abl1/Casp3/Aldh3b1/Mt3/Ect2/Egfr/Chchd2/Cst3/Pml/Abcc1/Mgst1/Cryab/Gpx8/Gpx4/Gpx1/Ndufb4/Rack1/Rps3/Pxdn/Apoe/ND3/Prdx1/Ndufb4c/Tor1a/Pex12/Romo1/Ndufa6/Ppia/Ndufa12/Ezh2/Fxn/Park7/Slc1a1/Ripk1/Sin3a/Capn1/Gpr37/Pex5/Prdx6/Nme5/Prnp/Txn1/Atox1/Cfl1/Apex1/Akr1b1/Selenok/Gstp1/Rhob/Hmox2/Prdx5/G6pdx/Macroh2a1/Aldh1a1/Psap",57
"GO:0006909","BP","GO:0006909","phagocytosis","29/1394","120/10713",0.000594729593568063,0.0276392753221368,0.0263686203654,"Plscr2/Abl1/Mertk/Myo7a/Xkr8/Abca7/Fcer1g/Fcgr3/Cnn2/Spg11/Tlr2/Tgm2/Pla2g5/P2rx7/Ccl2/Gsn/Rack1/Gulp1/Anxa3/Cyba/C3/Coro1a/Atg5/Eif2ak1/Rab31/Coro1c/4933434E20Rik/Tm9sf4/Hmgb1",29
"GO:1902255","BP","GO:1902255","positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator","6/1394","10/10713",0.00063164687082908,0.0291358903626458,0.0277964318176316,"Rpl26/Sh3glb1/Rps7/Rpl11/Steap3/Ubb",6
"GO:0000041","BP","GO:0000041","transition metal ion transport","18/1394","62/10713",0.000663068207115821,0.0303587006532066,0.028963026091718,"Steap4/Hfe/Steap1/Mt3/Slc39a12/Tmem165/Steap3/Fxn/Iscu/Slc1a1/Trf/B2m/Cp/Mmgt2/Atox1/Ap3d1/Atp2c1/Rab11b",18
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","13/1394","38/10713",0.000669062303611134,0.0304078977839737,0.029009961492489,"Ccl7/Fcer1g/Fcgr3/Slit2/Cxcl1/Tnfaip6/Ccl6/Ccl2/Ccl5/Ppia/Mdk/Cxcl10/Ppib",13
"GO:0140053","BP","GO:0140053","mitochondrial gene expression","35/1394","157/10713",0.000854408571257307,0.0374546055244072,0.035732712326864,"Nsun4/Sars2/Mrpl23/Mrpl20/Uqcc2/Mrps33/Mrps14/Slc25a33/Mrpl42/Mrpl27/Supv3l1/Trnt1/Mrpl52/Mrps28/Mrpl28/Aars2/Chchd1/Mrpl53/Mrps18a/Malsu1/Mrpl41/Trit1/Mrps21/Yars2/Ndufa7/Mrpl46/Mrps6/Prorp/Mrps24/Mrpl33/Mrpl12/Aurkaip1/Mrpl36/Lars2/Chchd10",35
